Movie_Name,Storyline
Stree 2: Sarkate Ka Aatank,"Stree's fear has ended in Chanderi. While the mysterious women who helped Vicky has also disappeared and villagers feel he is gone crazy for loving a ghost. But another fear has started to haunt village where a behead man (Sarkatta) is targeting women of Chanderi. Vicky gets a hint from the mysterious women that Chanderi again needs his help to save the women where he along with his friends Rudra, Bittu and Janna enter the haunted house where Stree lived and Sarkatta is buried. Vicky and his fiends are attacked by Sarkatta they manage to flee but he chases them and Vicky's life is in danger until the mysterious women who now has more powers in her arrives and saves him and tells them together they all should team up again to save women of Chanderi."
Portrait of a Scandalous Family,"The series, brimming with secrets and intrigue, delves into the lives and relationships of the Sakir Pasa family, beginning in 1912. As members of a prominent Ottoman family, figures like Halikarnas Balikçisi (Cevat Sakir Kabaagaçli), renowned modern painter Fahrelnisa Zeid, Turkey's first engraver Aliye Berger, and the first Turkish ceramic artist Füreya Koral, have their fascinating lives and contributions woven into the narrative."
The Salt Path,A couple lose their home and later discover the husband has been diagnosed with a terminal illness as they embark on a year long coastal trek.
Stream,"When Roy and Elaine Keenan realize their family is drifting apart, they decide that something needs to be done. Roy forces his work to take a back seat and they seize the opportunity to recreate a vacation from their past. A peaceful stay in a quaint hotel is just what they need, however that is not what is in store for them. With four deranged murderers patrolling the seemingly mundane halls, the odds are definitely not in the Keenan family's favor. Roy must fight for his life and those of his family as their simple weekend getaway truly turns into a vacation to die for. —Fuzz on the Lens Productions"
Let Go,"Finding out what really matters. In the center is Stella. She has everything under control... except her preschool son's constant need for attention, her daughter's teenage mood swings, and her emotionally unavailable husband. The family is about to break when Stella receives a message that changes everything. She decides to take a trip with her family where she has to achieve the impossible to bring her family together again."
Find Me Falling,"Coming off a flop album and his biggest hit's dwindling popularity, aging rock star John Allman decides to take a break from his career to reclaim his spark. He moves to an isolated cliffside home on the idyllic Mediterranean island of Cyprus. His dream of keeping a low profile is derailed when he is routinely confronted by desperate souls and later faced with even more complicated surprises when an old flame reignites."
Death and Other Details,"How do you solve a murder in a post-fact world? Especially when sailing the Mediterranean on an ocean liner filled with the wealthy and powerful. Everyone on board is hiding something. but is one of them a killer? That's what the world's once greatest detective, Rufus Cotesworth, and his protégée aim to discover. The truth at all costs."
Thangalaan,"Based on the true events that revolve around the lives of mine workers in the Kolar Gold Fields, Karnataka."
The Sympathizer,"Near the end of the Vietnam War, a plant who was embedded in the South Vietnam army flees to the United States and takes up residence in a refugee community where he continues to secretly spy and report back to the Viet Cong."
Bob Marley: One Love,"The story of how reggae icon Bob Marley overcame adversity, and the journey behind his revolutionary music."
White Lies,"Set in the wealthy neighbourhood of Bishopscourt, Cape Town, investigative journalist Edie Hansen gets caught up in the ugly underbelly that lies beneath the picturesque beauty of the city, dragging her back to a turbulent past. Following her estranged brother's murder in his luxury home, Edie's world plunges deeper into chaos when her brother's teenage children become prime suspects for the crime. As Edie investigates, she finds herself at loggerheads with veteran detective Forty Bell, and grapples with the crumbling local police force, a corrupt political system and the secretive world of extreme Cape wealth."
Genius,"Devran, a prodigious young mathematician, navigates the challenges and triumphs of nurturing his exceptional talent from childhood."
Year 10,"Following a catastrophic event that has destroyed civilization, a young man must confront a group of cannibals who have murdered his father and stolen the medicine keeping his girlfriend alive."
The Surfer,"When a man returns to his beach side hometown in Australia, he is humiliated in front of his teenage son by a local group of surfers who claim ownership over the secluded beach of his childhood."
A Shop for Killers,"Jeong Hi An, a girl who tragically loses her parents. She is raised by Jeong Jin Man, her uncle, who runs a shopping mall. When she was little, her mother was murdered by her father, and he took his own life on the day of her grandmother's funeral. When she was left alone, her uncle took her in and they started to live together until she went to university and lived alone. One day, Jung Ji An hears that her uncle has suddenly passed away, and returns to the house where they lived. She then learns the true identity of the mall that Jung Jin Man managed."
A Man in Full,"A racially mixed, late-century boomtown full of fresh wealth and wily politicians. The protagonist is Charles Croker, once a college football star, now a late-middle-aged Atlanta conglomerate king whose outsize ego has at last hit up against reality. Charlie has a 29,000 acre quail-shooting plantation, a young and demanding second wife, and a half-empty office complex with a staggering load of debt."
Rust,A 13-year-old boy left to fend for himself and his younger brother following their parents' deaths in 1880s Kansas goes on the run with his long-estranged grandfather after he's sentenced to hang for the accidental killing of a local rancher. —Joel Souza
The Cage,"Dreaming of going pro, a young fighter struggles to be seen until an unexpected combat lands him a shot at the big time and a brutal rival in the cage."
The Man Who Could Not Remain Silent,"1993, Bosnia and Herzegovina. A passenger train is stopped by paramilitary forces in an ethnic cleansing operation. As they haul off innocent civilians, only one man out of 500 passengers dares to stand up to them."
The Shadow Strays,"Codename 13, a 17-year-old trained assassin is under suspension because of a sloppy mission in Japan. The girl built a conscience when she met Monji, an 11 year old boy who lost his mother to a crime syndicate. When Monji is captured, 13 is hellbent on setting a path of destruction to rescue the boy, including going against her mentor and the organization who hires her, the Shadow."
Anthracite,"In 1994, the collective suicide of a sect based in a small village in the Alps hit the headlines... 30 years later, the murder of a woman murdered according to the rituals of the strange community sets the balance ablaze. precarious found by the inhabitants. The ideal scapegoat, Jaro Gatsi, a young delinquent who came to the mountains to get his life back on track, quickly finds himself accused of the murder. Determined to prove his innocence, he receives unexpected help from Ida, an eccentric and ultra-connected geek who is looking for her missing father... They will quickly understand that their involvement in this affair owes nothing to chance, and that the answers they seek are rooted in the secrets of their own past."
Monsieur Spade,"Monsieur Spade centers around the infamous protagonist of American writer Dashiell Hammett's 1930 classic novel The Maltese Falcon. The year is 1963, and the legendary Detective Sam Spade is enjoying his retirement in the South of France. By contrast to his days as a private eye in San Francisco, Spade's life in Bozouls is peaceful and quiet. But the rumored return of his old adversary will change everything. Six beloved nuns have been brutally murdered at the local convent. As the town grieves, secrets emerge, and new leads are established. Spade learns that the murders are somehow connected to a mysterious child who is believed to possess great powers. —from TVmaze (Canon y mus)"
